종목,티커,단타확률,중장기확률,단타정확도,중장기정확도,신호
에이스침대,003800.KS,38.92,61.02,56.04,45.27,SELL
베셀,177350.KS,48.9,61.0,58.61,48.42,SELL
포스코DX,022100.KS,81.14,61.0,47.87,48.76,SELL
NE능률,053290.KS,44.55,61.0,55.7,46.28,SELL
한솔인티큐브,070590.KS,47.52,60.95,53.36,50.9,BUY
씨젠,096530.KS,61.69,60.95,53.47,44.59,SELL
엑셀세라퓨틱스,373110.KS,25.34,60.95,50.44,59.26,SELL
크로넥스,215570.KS,58.57,60.89,59.08,52.3,BUY
동양파일,228340.KS,69.66,60.88,55.33,59.89,BUY
유일에너테크,340930.KS,70.79,60.88,53.72,60.34,SELL
케스피온,079190.KS,75.77,60.87,55.82,55.29,SELL
