name,ticker
네패스아크,330860.KS
교촌에프앤비,339770.KS
소룩스,290690.KS
위드텍,348350.KS
센코,347000.KS
바이브컴퍼니,301300.KS
원포유,122830.KS
롤링스톤,214610.KS
피플바이오,304840.KS
하이브,352820.KS
넥스틴,348210.KS
케이엔솔,053080.KS
비나텍,126340.KS
씨엔알리서치,359090.KS
박셀바이오,323990.KS
티와이홀딩스,363280.KS
비비씨,318410.KS
코스텍시스,355150.KS
핌스,347770.KS
압타머사이언스,291650.KS
이오플로우,294090.KS
카카오게임즈,293490.KS
피엔케이피부임상연구센타,347740.KS
코람코라이프인프라리츠,357120.KS
아이디피,332370.KS
셀레믹스,331920.KS
고스트스튜디오,950190.KS
젝시믹스,337930.KS
영림원소프트랩,060850.KS
한국파마,032300.KS
제이알글로벌리츠,348950.KS
솔브레인,357780.KS
미래에셋맵스리츠,357250.KS
이지스레지던스리츠,350520.KS
PS일렉트로닉스,332570.KS
에코앤드림,101360.KS
엠투아이,347890.KS
더네이쳐홀딩스,298540.KS
제놀루션,225220.KS
솔트룩스,304100.KS
바이오인프라생명과학,266470.KS
티에스아이,277880.KS
에이프로,262260.KS
이지스밸류플러스리츠,334890.KS
소마젠,950200.KS
신도기연,290520.KS
위더스제약,330350.KS
에스케이바이오팜,326030.KS
엠브레인,169330.KS
젠큐릭스,229000.KS
무진메디,322970.KS
HB솔루션,297890.KS
넥사다이내믹스,351320.KS
에스씨엠생명과학,298060.KS
휴럼,353190.KS
이지바이오,353810.KS
드림씨아이에스,223250.KS
대덕전자,353200.KS
캐프,198080.KS
플레이디,237820.KS
서울바이오시스,092190.KS
제이앤티씨,204270.KS
켄코아에어로스페이스,274090.KS
레몬,294140.KS
서남,294630.KS
위세아이텍,065370.KS
케이씨씨글라스,344820.KS
세림B&G,340440.KS
CJ 바이오사이언스,311690.KS
엔에스엠,238170.KS
한국첨단소재,062970.KS
RF머트리얼즈,327260.KS
아이비김영,339950.KS
파라택시스코리아,288330.KS
다보링크,340360.KS
메드팩토,235980.KS
원텍,336570.KS
신테카바이오,226330.KS
제이엘케이,322510.KS
태웅로직스,124560.KS
윙스풋,335870.KS
노드메이슨,317860.KS
리메드,302550.KS
NH프라임리츠,338100.KS
타스컴,336040.KS
진코스텍,250030.KS
웨이버스,336060.KS
유엑스엔,337840.KS
HLB바이오스텝,278650.KS
씨티알모빌리티,308170.KS
티움바이오,321550.KS
씨에스베어링,297090.KS
우양,103840.KS
코리아에셋투자증권,190650.KS
HD현대에너지솔루션,322000.KS
에스제이그룹,306040.KS
제테마,216080.KS
한화시스템,272210.KS
라파스,214260.KS
아이티엠반도체,084850.KS
일승,333430.KS
자이에스앤디,317400.KS
미디어젠,279600.KS
LS티라유텍,322180.KS
모코엠시스,333050.KS
롯데리츠,330590.KS
지누스,013890.KS
밸로프,331520.KS
캐리소프트,317530.KS
한국미라클피플사,331660.KS
케이엔제이,272110.KS
엔바이오니아,317870.KS
팜스빌,318010.KS
두산퓨얼셀,336260.KS
라온피플,300120.KS
솔루스첨단소재,336370.KS
콘텐트리중앙,036420.KS
아톤,158430.KS
녹십자웰빙,234690.KS
누보,332290.KS
포커스에이아이,331380.KS
엔지브이아이,093510.KS
올리패스,244460.KS
라닉스,317120.KS
한울반도체,320000.KS
한독크린텍,256150.KS
아퓨어스,149300.KS
네오크레마,311390.KS
마니커에프앤지,195500.KS
솔트웨어,328380.KS
나노실리칸첨단소재,286750.KS
에스피시스템스,317830.KS
레이,228670.KS
그린플러스,186230.KS
코윈테크,282880.KS
덕산테코피아,317330.KS
KBG,318000.KS
엑스페릭스,317770.KS
세경하이테크,148150.KS
캐리,313760.KS
대모,317850.KS
에이스토리,241840.KS
플리토,300080.KS
헥토파이낸셜,234340.KS
아이스크림에듀,289010.KS
펨토바이오메드,327610.KS
펌텍코리아,251970.KS
에이에프더블류,312610.KS
태성,323280.KS
압타바이오,293780.KS
형지글로벌,308100.KS
마이크로디지탈,305090.KS
코퍼스코리아,322780.KS
프로이천,321260.KS
포스코퓨처엠,003670.KS
수젠텍,253840.KS
컴퍼니케이,307930.KS
피에스케이,319660.KS
현대무벡스,319400.KS
TS트릴리온,317240.KS
이노벡스,279060.KS
아모그린텍,125210.KS
현대오토에버,307950.KS
지노믹트리,228760.KS
이지케어텍,099750.KS
미래에셋벤처투자,100790.KS
드림텍,192650.KS
더블유게임즈,192080.KS
에코프로비엠,247540.KS
셀리드,299660.KS
우리금융지주,316140.KS
천보,278280.KS
SCL사이언스,246960.KS
노랑풍선,104620.KS
웹케시,053580.KS
엘에이티,311060.KS
에어부산,298690.KS
비피도,238200.KS
유틸렉스,263050.KS
디케이티,290550.KS
아이엘,307180.KS
애니플러스,310200.KS
디와이씨,310870.KS
위지윅스튜디오,299900.KS
조이웍스앤코,309930.KS
국전약품,307750.KS
에이비엘바이오,298380.KS
머큐리,100590.KS
전진바이오팜,110020.KS
뉴트리,270870.KS
비투엔,307870.KS
이노메트리,302430.KS
DH오토리드,290120.KS
에코캡,128540.KS
원바이오젠,307280.KS
윙입푸드,900340.KS
남화산업,111710.KS
엠아이텍,179290.KS
티로보틱스,117730.KS
네오펙트,290660.KS
에이펙스인텍,207490.KS
티앤알바이오팹,246710.KS
아시아나IDT,267850.KS
디알젬,263690.KS
싸이토젠,217330.KS
아주IB투자,027360.KS
디케이앤디,263020.KS
프로브잇,227100.KS
노바렉스,194700.KS
대보마그네틱,290670.KS
노바텍,285490.KS
엘앤씨바이오,290650.KS
지아이에스,306620.KS
로보티즈,108490.KS
옵티팜,153710.KS
에스퓨얼셀,288620.KS
세아제강,306200.KS
나우IB,293580.KS
푸드나무,290720.KS
하나제약,293480.KS
크리스에프앤씨,110790.KS
더블유에스아이,299170.KS
한국비티비,219750.KS
우진아이엔에스,010400.KS
엔피,291230.KS
피엔티엠에스,257370.KS
엔솔바이오사이언스,140610.KS
디지캡,197140.KS
지니틱스,303030.KS
액트로,290740.KS
오파스넷,173130.KS
브이엠,089970.KS
바이오솔루션,086820.KS
더콘텐츠온,302920.KS
신한알파리츠,293940.KS
디아이티,110990.KS
에스에스알,275630.KS
한일시멘트,300720.KS
휴네시온,290270.KS
티웨이항공,091810.KS
롯데이노베이트,286940.KS
한국유니온제약,080720.KS
그리티,204020.KS
알로이스,297570.KS
올릭스,226950.KS
HS효성첨단소재,298050.KS
테크트랜스,258050.KS
효성중공업,298040.KS
효성티앤씨,298020.KS
효성화학,298000.KS
아이큐어,175250.KS
SV인베스트먼트,289080.KS
엘리비젼,276240.KS
지앤이헬스케어,299480.KS
이리츠코크렙,088260.KS
EDGC,245620.KS
HDC현대산업개발,294870.KS
카이노스메드,284620.KS
파워넷,037030.KS
현대사료,016790.KS
세종메디칼,258830.KS
제노레이,122310.KS
에스제이켐,217910.KS
JTC,950170.KS
네오셈,253590.KS
케어랩스,263700.KS
애경산업,018250.KS
린드먼아시아,277070.KS
오스테오닉,226400.KS
엔지켐생명과학,183490.KS
동구바이오제약,006620.KS
아시아종묘,154030.KS
알리코제약,260660.KS
셀트리온,068270.KS
카페24,042000.KS
링크제니시스,219420.KS
배럴,267790.KS
SG,255220.KS
씨앤지하이테크,264660.KS
쿠쿠홈시스,284740.KS
SK케미칼,285130.KS
시스웍,269620.KS
디바이스,187870.KS
씨알푸드,236030.KS
레이크머티리얼즈,281740.KS
BGF리테일,282330.KS
DYP,092780.KS
진에어,272450.KS
씨티케이,260930.KS
메카로,241770.KS
에스트래픽,234300.KS
케이씨텍,281820.KS
체리부로,066360.KS
대원,007680.KS
삼양패키징,272550.KS
스튜디오드래곤,253450.KS
코오롱티슈진,950160.KS
EMB,278990.KS
테이팩스,055490.KS
롯데웰푸드,280360.KS
탑선,180060.KS
영화테크,265560.KS
폴라리스세원,234100.KS
상신전자,263810.KS
야스,255440.KS
인산가,277410.KS
휴엠앤씨,263920.KS
신흥에스이씨,243840.KS
유티아이,179900.KS
선익시스템,171090.KS
엠플러스,259630.KS
앱클론,174900.KS
펄어비스,263750.KS
킵스파마,256940.KS
SK시그넷,260870.KS
덕우전자,263600.KS
앱튼,270520.KS
케일럼,258610.KS
알에스오토메이션,140670.KS
컬러레이,900310.KS
와이즈버즈,273060.KS
